brand,ean,image_url,name,original_price,product_category,product_page_url,sale_price,sku,stock
Mobili Rebecca,8052787045530,https://e-leclerc.scene7.com/is/image/gtinternet/8052787045530_2;https://e-leclerc.scene7.com/is/image/gtinternet/8052787045530_1;https://e-leclerc.scene7.com/is/image/gtinternet/8052787045530_3;https://e-leclerc.scene7.com/is/image/gtinternet/8052787045530_4;https://e-leclerc.scene7.com/is/image/gtinternet/8052787045530_5,"Rebecca Mobili Tapis Yoga Tapis Pilates Tpe Bicoloré Noir Gris 0,6x183x61",3749,materiel-d-equitation,https://www.e.leclerc//fp/rebecca-mobili-tapis-yoga-tapis-pilates-tpe-bicolore-noir-gris-06x183x61-8052787045530,2999,8052787045530,True
VidaXL,8719883589503,https://e-leclerc.scene7.com/is/image/gtinternet/8719883589503_2;https://e-leclerc.scene7.com/is/image/gtinternet/8719883589473_1;https://e-leclerc.scene7.com/is/image/gtinternet/8719883589565_4;https://e-leclerc.scene7.com/is/image/gtinternet/8719883589534_5;https://e-leclerc.scene7.com/is/image/gtinternet/8719883589534_5,vidaXL Tapis gonflable de gymnastique avec pompe 500x100x10cm PVC Rose,21999,materiel-d-equitation,https://www.e.leclerc//fp/vidaxl-tapis-gonflable-de-gymnastique-avec-pompe-500x100x10cm-pvc-rose-8719883589503,21999,8719883589503,True
VidaXL,8720286085424,https://e-leclerc.scene7.com/is/image/gtinternet/8720286085424_2;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085424_1;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085424_3;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085424_4;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085271_5,vidaXL Tapis gonflable de gymnastique avec pompe 400x100x20cm PVC Vert,23899,materiel-d-equitation,https://www.e.leclerc//fp/vidaxl-tapis-gonflable-de-gymnastique-avec-pompe-400x100x20cm-pvc-vert-8720286085424,23899,8720286085424,True
VidaXL,8720286085509,https://e-leclerc.scene7.com/is/image/gtinternet/8720286085509_3;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085530_1;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085530_5;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085509_4;https://e-leclerc.scene7.com/is/image/gtinternet/8720286085509_5,vidaXL Tapis gonflable de gymnastique avec pompe 700x100x20cm PVC Bleu,39799,materiel-d-equitation,https://www.e.leclerc//fp/vidaxl-tapis-gonflable-de-gymnastique-avec-pompe-700x100x20cm-pvc-bleu-8720286085509,39799,8720286085509,True
Pure2Improve,8719407073433,https://e-leclerc.scene7.com/is/image/gtinternet/8719407073433_2;https://e-leclerc.scene7.com/is/image/gtinternet/8719407073433_1;https://e-leclerc.scene7.com/is/image/gtinternet/8719407073433_3;https://e-leclerc.scene7.com/is/image/gtinternet/8719407073433_4;https://e-leclerc.scene7.com/is/image/gtinternet/8719407073433_5,Panier de basket-ball anneau avec panneau arrière filet Ø 45 cm Pure2Improve,21133,materiel-d-equitation,https://www.e.leclerc//fp/panier-de-basket-ball-anneau-avec-panneau-arriere-filet-o-45-cm-pure2improve-8719407073433,21732,8719407073433,True
Kempa,4051309336006,https://e-leclerc.scene7.com/is/image/gtinternet/4051309336006_1,Poignet éponge kempa Core blanc 9 cm (x1),1095,materiel-d-equitation,https://www.e.leclerc//fp/poignet-eponge-kempa-core-blanc-9-cm-x1-4051309336006,1694,4051309336006,True
Weeplay,3664267074845,https://e-leclerc.scene7.com/is/image/gtinternet/3664267074845_1,Poignet éponge OM Fan,700,materiel-d-equitation,https://www.e.leclerc//fp/poignet-eponge-om-fan-3664267074845,1280,3664267074845,True
ManuelGil,4250749229521,https://e-leclerc.scene7.com/is/image/gtinternet/4250749229521_1,Ailettes Flechettes  bleues kite polytronique,400,materiel-d-equitation,https://www.e.leclerc//fp/ailettes-flechettes-bleues-kite-polytronique-4250749229521,1599,4250749229521,True
Gilbert,5024686282692,https://e-leclerc.scene7.com/is/image/gtinternet/5024686282692_2;https://e-leclerc.scene7.com/is/image/gtinternet/5024686282692_1,GILBERT Ballon de rugby REPLICA - Fidji - Taille 5,5300,materiel-d-equitation,https://www.e.leclerc//fp/gilbert-ballon-de-rugby-replica-fidji-taille-5-5024686282692,5300,5024686282692,True
Kempa,4051309335979,https://e-leclerc.scene7.com/is/image/gtinternet/4051309335979_2;https://e-leclerc.scene7.com/is/image/gtinternet/4051309335979_1,Poignet éponge kempa Core noir 9 cm (x1),1000,materiel-d-equitation,https://www.e.leclerc//fp/poignet-eponge-kempa-core-noir-9-cm-x1-4051309335979,1497,4051309335979,True
